44.0;42.0;55.0;[22.0, 21.0, 27.5];1;1;0
44.0;42.0;55.0;[66.0, 21.0, 27.5];1;1;0
44.0;42.0;55.0;[22.0, 21.0, 82.5];1;1;0
44.0;42.0;55.0;[22.0, 63.0, 27.5];1;1;0
44.0;42.0;55.0;[110.0, 21.0, 27.5];1;1;0
44.0;42.0;55.0;[66.0, 21.0, 82.5];1;1;0
44.0;42.0;55.0;[66.0, 63.0, 27.5];1;1;0
44.0;42.0;55.0;[22.0, 21.0, 137.5];1;1;0
44.0;42.0;55.0;[22.0, 63.0, 82.5];1;1;0
44.0;42.0;55.0;[22.0, 105.0, 27.5];1;1;0
44.0;42.0;55.0;[154.0, 21.0, 27.5];1;1;0
44.0;42.0;55.0;[110.0, 21.0, 82.5];1;1;0
44.0;42.0;55.0;[110.0, 63.0, 27.5];1;1;0
44.0;42.0;55.0;[66.0, 21.0, 137.5];1;1;0
44.0;42.0;55.0;[66.0, 63.0, 82.5];1;1;0
44.0;42.0;55.0;[66.0, 105.0, 27.5];1;1;0
44.0;42.0;55.0;[22.0, 21.0, 192.5];1;1;0
44.0;42.0;55.0;[22.0, 63.0, 137.5];1;1;0
44.0;42.0;55.0;[22.0, 105.0, 82.5];1;1;0
44.0;42.0;55.0;[22.0, 147.0, 27.5];1;1;0
44.0;42.0;55.0;[154.0, 21.0, 82.5];1;1;0
44.0;42.0;55.0;[154.0, 63.0, 27.5];1;1;0
44.0;42.0;55.0;[110.0, 21.0, 137.5];1;1;0
44.0;42.0;55.0;[110.0, 63.0, 82.5];1;1;0
44.0;42.0;55.0;[110.0, 105.0, 27.5];1;1;0
44.0;42.0;55.0;[66.0, 21.0, 192.5];1;1;0
44.0;42.0;55.0;[66.0, 63.0, 137.5];1;1;0
44.0;42.0;55.0;[66.0, 105.0, 82.5];1;1;0
44.0;42.0;55.0;[66.0, 147.0, 27.5];1;1;0
44.0;42.0;55.0;[22.0, 21.0, 247.5];1;1;0
44.0;42.0;55.0;[22.0, 63.0, 192.5];1;1;0
44.0;42.0;55.0;[22.0, 105.0, 137.5];1;1;0
44.0;42.0;55.0;[22.0, 147.0, 82.5];1;1;0
44.0;42.0;55.0;[154.0, 21.0, 137.5];1;1;0
44.0;42.0;55.0;[154.0, 63.0, 82.5];1;1;0
44.0;42.0;55.0;[154.0, 105.0, 27.5];1;1;0
